GeoID,Date,City,Ward,Latitude,Longitude,Area_sq_km,Elevation_m,Land_Use,Green_Cover_Percentage,Road_Density_km_per_sq_km,Distance_to_City_Center_km,Zone,PINCode
114,2025-02-25, Bengaluru ,,13.049846623419576,77.55379286793678,7.06,877,Mixed Use,58.8,-1.98,35.28,East,560048
49,2025-04-30,, Bommanahalli ,13.134138584650255,77.71833380082005,-4.13,866,Residential,46.1,13.17,10.26,South,560064
290,2024-07-25, Bengaluru , Bommanahalli ,12.888432104976667,77.61182298547946,6.28,958,Residential,5.1,12.65,34.08,South,560078
66,2024-10-16,, RR Nagar ,13.168616949858441,77.71923312609941,10.83,923,Residential,6.7,6.34,-0.58,West,560102
207,2024-02-10, Bengaluru ,,13.076383841736444,77.49618927013401,8.68,945,Commercial,41.5,-1.38,-4.78,West,560102
387,2025-05-20, Bengaluru ,,13.024851018168603,77.62887194694913,16.73,864,Residential,18.0,11.05,14.87,West,560078
448,2025-08-16, Bengaluru , CV Raman Nagar ,12.978235491568942,77.45021473844969,16.37,882,Commercial,40.2,12.22,2.24,East,560037
286,2024-04-04, Bengaluru , Hebbal ,13.030318892569126,77.7107499321909,16.39,864,Mixed Use,40.0,-1.61,13.76,North,560076
353,2025-01-26, Bengaluru , Shivajinagar ,13.059022255845548,77.56785273979426,14.23,923,,48.8,9.39,2.31,Central,560034
387,2025-05-20, Bengaluru ,,13.024851018168603,77.62887194694913,16.73,864,Residential,18.0,11.05,14.87,West,560078
226,2024-06-29, Bengaluru , RR Nagar ,13.09220550053746,77.72111348205314,18.96,937,Mixed Use,24.2,0.34,34.22,West,560078
708,2024-11-25, Bengaluru , West ,13.160526588429725,77.54518235999629,16.02,872,Residential,36.1,-1.28,33.98,West,560037
121,2025-03-30, Bengaluru , North ,13.100984349195956,77.46580971774128,11.14,978,Residential,27.3,-0.53,21.63,North,560048
373,2025-11-15, Bengaluru , Shivajinagar ,13.16329571130971,77.5366277450545,9.13,925,Institutional,23.2,6.77,36.78,Central,560078
513,2024-02-12, Bengaluru , North ,13.09172601364254,77.56896562971004,8.19,962,Commercial,109.0,-1.56,20.06,North,560034
457,2025-06-26, Bengaluru , West ,13.010518720048983,77.66909786124373,8.92,888,Industrial,27.7,7.89,31.92,West,560037
388,2024-03-08, Bengaluru , North ,12.88234112473669,77.50348531992486,15.58,942,,41.0,1.04,-3.03,North,560102
596,2025-12-22, Bengaluru ,,13.167196773603319,77.48324930021543,12.04,954,Commercial,22.5,-1.92,3.99,South,560076
222,2025-05-22, Bengaluru , Mahadevapura ,12.971535825452229,77.49895972736384,17.85,891,Institutional,22.2,-2.04,8.39,East,560078
269,2024-09-11,, Mahadevapura ,12.942796782145011,77.69888484720032,2.84,879,Residential,13.2,3.04,18.5,East,560076
172,2025-12-07, Bengaluru , South ,12.873711471956264,77.61958053381548,7.33,915,Commercial,18.0,-2.64,-2.85,South,560102
433,2025-10-30, Bengaluru , North ,12.96840386744608,77.63633283483824,4.22,869,Mixed Use,18.0,0.22,27.19,North,560064
61,2025-06-14, Bengaluru , Yelahanka ,12.902313499796916,77.78974230403982,5.87,859,Industrial,38.0,6.9,23.22,North,560064
685,2025-03-29, Bengaluru , Hebbal ,13.019085203386501,77.62590981611514,18.75,891,Institutional,21.5,8.94,34.98,North,560034
545,2024-01-05,, South ,12.898847143473116,77.71149367214804,17.18,914,Institutional,32.1,14.98,36.5,South,560076
386,2024-08-19, Bengaluru , South ,13.054127830358222,77.60652847972537,9.74,939,Commercial,39.5,6.13,39.57,South,560076
248,2024-10-21, Bengaluru , Shivajinagar ,13.100003339283663,77.60098586380879,19.08,962,Commercial,46.0,10.56,6.18,Central,560064
274,2024-11-09, Bengaluru , East ,12.881197959577378,77.4671763916594,5.15,912,Commercial,48.2,9.93,34.15,East,560102
124,2025-02-10, Bengaluru , Bommanahalli ,13.071624030667294,77.73324400777419,17.98,858,Institutional,42.3,1.92,19.4,South,560001
69,2025-08-20, Bengaluru , North ,12.978182085740382,77.73996509549183,2.75,912,Mixed Use,73.0,12.68,30.2,North,560078
181,2024-12-05,, RR Nagar ,12.937406506438249,77.56191886841484,19.24,904,Commercial,45.5,-2.17,29.83,West,560102
162,2025-02-05, Bengaluru , West ,12.917075885810418,77.61628798113199,9.03,864,Residential,5.8,7.7,4.59,West,560064
705,2025-10-13, Bengaluru , Mahadevapura ,12.880825025205791,77.5895704611003,14.07,859,Industrial,22.7,14.64,-1.21,East,560048
266,2025-01-03, Bengaluru , South ,12.977717496042306,77.79918507246599,17.88,878,,27.3,4.57,-1.5,South,560102
735,2025-02-17, Bengaluru ,,12.920443358111495,77.62359936268273,15.81,886,Institutional,49.2,1.57,9.87,West,560076
118,2024-12-09, Bengaluru , North ,13.180974863637655,77.4816154964671,15.85,884,Industrial,36.0,14.74,-3.35,North,560076
383,2024-01-07, Bengaluru , North ,13.14380328645927,77.76223689630655,4.66,871,Commercial,33.3,2.18,15.07,North,560102
278,2025-03-12, Bengaluru , Mahadevapura ,13.161890108026483,77.61032840974713,4.1,948,Commercial,20.9,5.37,27.22,East,560037
190,2024-06-05, Bengaluru , Bommanahalli ,13.074184054371539,77.73960532731957,17.69,861,Industrial,50.0,-0.79,1.92,South,560064
522,2024-11-23, Bengaluru , North ,13.060140379484254,77.60350820029223,15.81,956,Institutional,14.7,3.65,-4.69,North,560048
673,2024-11-08, Bengaluru , South ,13.052995637327541,77.53644566446833,9.76,886,Institutional,18.4,4.69,25.73,South,560076
536,2024-12-24, Bengaluru , Dasarahalli ,13.14416657368501,77.77931440891182,17.48,858,Industrial,13.2,-1.5,18.54,West,560078
469,2025-09-08, Bengaluru , CV Raman Nagar ,13.053715437980342,77.5624615624841,14.98,855,Industrial,37.9,11.77,16.03,East,560034
598,2024-10-02, Bengaluru , West ,13.017896965663818,77.599635758585,8.5,895,Mixed Use,29.4,-2.45,5.21,West,560078
241,2024-06-15, Bengaluru , Mahadevapura ,13.028433304097007,77.7848797646268,17.88,868,Institutional,9.7,7.11,22.58,East,560034
135,2025-02-26, Bengaluru , North ,13.061094675491132,77.57361448220502,13.64,860,Residential,21.9,9.43,-4.82,North,560064
156,2024-06-16, Bengaluru , Mahadevapura ,12.990484967316549,77.79266341748819,10.89,905,Residential,69.4,12.0,18.01,East,560037
354,2024-11-02,, Hebbal ,12.979046169271188,77.5128893410091,11.27,956,Residential,21.5,14.41,12.24,North,560078
140,2024-07-10,, Mahadevapura ,12.988609409306473,77.57702771157183,17.75,935,Residential,28.2,13.43,19.92,East,560078
126,2025-07-19, Bengaluru , Shivajinagar ,12.968177572021851,77.69986830346178,9.03,857,Residential,30.8,-1.41,13.01,Central,560048
588,2024-02-25, Bengaluru , Mahadevapura ,12.946533807310013,77.5155767563305,7.81,853,Industrial,23.6,2.98,-0.77,East,560102
61,2025-06-14, Bengaluru , Yelahanka ,12.902313499796916,77.78974230403982,5.87,859,Industrial,38.0,6.9,23.22,North,560064
353,2025-01-26, Bengaluru , Shivajinagar ,13.059022255845548,77.56785273979426,14.23,923,,48.8,9.39,2.31,Central,560034
644,2025-05-12, Bengaluru , Hebbal ,13.06920983782322,77.61089578772221,11.76,972,Mixed Use,51.9,11.32,5.55,North,560064
39,2025-05-13, Bengaluru , Yelahanka ,13.130159018881658,77.46241060477578,16.82,950,Commercial,29.7,1.13,38.11,North,560034
148,2024-12-19, Bengaluru ,,13.093136971148674,77.58777241855367,17.0,921,Industrial,28.3,13.74,26.12,South,560102
1,2025-02-08, Bengaluru ,,13.03755870150734,77.5779911209194,7.69,859,Mixed Use,1.8,4.64,32.21,South,560034
301,2024-05-31, Bengaluru , Shivajinagar ,13.046285952484526,77.49986454117199,9.21,851,Institutional,51.4,3.52,26.75,Central,560048
215,2025-02-08, Bengaluru , East ,13.179597722142391,77.73901926824941,4.02,936,Mixed Use,5.2,5.8,-4.26,East,560034
408,2025-04-21, Bengaluru , Hebbal ,13.167992761078704,77.53231813864979,10.35,970,Residential,48.9,12.54,33.61,North,560034
294,2025-12-30, Bengaluru , South ,13.001397823295845,77.55437792915676,14.1,851,Commercial,42.3,4.18,9.7,South,560048
298,2024-04-01, Bengaluru , North ,13.143134721499134,77.46395298474891,15.28,958,Commercial,58.7,-2.31,-2.48,North,560034
80,2024-10-15,, South ,12.945310538247748,77.52423811687422,8.93,880,Mixed Use,36.8,5.03,8.73,South,560001
132,2024-01-11,, East ,13.163562118441373,77.55493662373803,7.97,961,Institutional,28.7,5.36,-3.17,East,560076
315,2025-01-29, Bengaluru , CV Raman Nagar ,13.042942526539333,77.57564985544748,6.96,886,Commercial,37.4,11.42,2.2,East,560034
405,2025-10-10, Bengaluru , East ,13.058366854580614,77.72144593309301,8.52,903,Residential,29.2,-0.89,28.65,East,560076
739,2024-07-15, Bengaluru , Hebbal ,12.862044709906018,77.63130548553535,4.53,971,Industrial,37.9,11.24,24.2,North,560102
732,2024-10-15, Bengaluru , North ,12.936440020389249,77.65638451053685,12.53,929,Residential,17.0,5.34,-2.9,North,560048
417,2025-09-16, Bengaluru , RR Nagar ,12.865187339333485,77.66433738644163,5.77,961,Industrial,14.1,8.33,24.57,West,560064
566,2024-07-08, Bengaluru , Hebbal ,13.096373805786127,77.54834070514609,-3.7,917,Industrial,15.5,8.59,3.83,North,560034
39,2024-12-06, Bengaluru , North ,12.898858622399903,77.51734248351626,8.48,873,Industrial,36.3,12.97,28.73,North,560078
471,2025-11-26, Bengaluru , Yelahanka ,12.942113349504904,77.55433248211494,6.52,872,Institutional,11.4,6.29,33.62,North,560064
250,2025-05-20, Bengaluru , Mahadevapura ,13.157227339191056,77.77224862366396,18.25,915,Mixed Use,14.5,14.81,34.51,East,560102
506,2024-05-06, Bengaluru , Mahadevapura ,13.064934515643715,77.5635612139385,12.53,942,Industrial,39.8,1.29,26.32,East,560078
403,2024-02-13, Bengaluru , West ,13.119892832055214,77.5112324677469,9.57,883,Mixed Use,9.7,-0.93,36.73,West,560076
54,2024-10-15, Bengaluru , Bommanahalli ,12.964218271692703,77.58862435846089,11.38,909,Residential,59.5,-1.16,16.36,South,560048
195,2025-10-20, Bengaluru ,,13.057471799829761,77.6118894512003,17.19,956,Commercial,29.2,5.84,18.03,North,560001
137,2025-06-19, Bengaluru , Dasarahalli ,13.00071745315425,77.73010428899333,14.48,932,Commercial,14.3,1.8,-0.52,West,560034
582,2025-05-30, Bengaluru ,,13.129463380293846,77.75267493987951,18.43,926,Institutional,7.4,0.97,24.28,East,560034
663,2025-02-06, Bengaluru ,,12.880649804207305,77.75376154785016,10.38,907,Residential,30.5,2.63,5.22,Central,560064
672,2025-08-10, Bengaluru , Shivajinagar ,12.980696129189447,77.70689564087948,15.13,908,Industrial,108.8,12.51,-3.9,Central,560037
282,2025-01-24, Bengaluru , North ,12.933930214782754,77.69963848529565,3.46,894,Commercial,57.5,12.72,19.42,North,560001
36,2025-08-26, Bengaluru , East ,13.114479737701298,77.74898934339653,3.4,923,Commercial,19.6,6.2,3.54,East,560076
513,2024-02-12, Bengaluru , North ,13.09172601364254,77.56896562971004,8.19,962,Commercial,109.0,-1.56,20.06,North,560034
503,2025-02-25, Bengaluru , CV Raman Nagar ,13.133626081069844,77.47189193580601,7.45,969,Institutional,45.9,10.77,7.5,East,560078
744,2025-11-26, Bengaluru , Dasarahalli ,13.17834223740071,77.63673496493948,7.08,879,Institutional,107.0,-2.63,26.54,West,560078
379,2025-09-11, Bengaluru , RR Nagar ,13.150839650483423,77.76122227239016,14.7,881,Industrial,21.8,-1.23,7.68,West,560102
645,2024-08-24, Bengaluru , South ,12.912505140348031,77.59557235333793,10.07,915,Institutional,10.6,8.86,26.95,South,560048
67,2024-09-28, Bengaluru , Hebbal ,12.901168405458986,77.56579009791929,6.53,862,Institutional,40.2,14.71,21.36,North,560076
572,2024-07-25, Bengaluru , East ,13.021497531473289,77.72323430357889,15.89,927,Institutional,79.8,6.25,31.04,East,560102
682,2025-10-10, Bengaluru , East ,13.066650277099672,77.46073707898472,2.8,858,Residential,-6.9,9.9,33.12,East,560078
537,2024-12-23, Bengaluru , Mahadevapura ,13.136907912543442,77.7862784267494,10.21,957,Institutional,9.1,2.03,2.81,East,560102
53,2025-03-02, Bengaluru , Mahadevapura ,12.932226660190462,77.63849760701095,15.79,925,Institutional,19.0,1.69,14.77,East,560037
378,2024-01-02, Bengaluru , RR Nagar ,12.940401471660703,77.7644182281066,10.17,933,Commercial,22.2,9.3,25.8,West,560102
713,2025-09-04, Bengaluru , Dasarahalli ,13.146509683615072,77.74552451002828,6.46,910,,56.3,1.9,-1.0,West,560078
66,2025-01-20, Bengaluru , Shivajinagar ,12.890277545294857,77.63575243142992,8.8,965,Institutional,54.3,1.54,19.11,Central,560078
538,2025-05-10, Bengaluru , South ,13.163823896415376,77.6989327874268,6.77,929,Residential,57.3,1.71,28.1,South,560037
247,2024-11-17, Bengaluru , Dasarahalli ,12.872489749178648,77.4926501619665,6.2,863,Institutional,55.5,13.77,18.35,West,560034
18,2024-04-10, Bengaluru , Bommanahalli ,13.115997599906505,77.76937081271544,13.22,979,Commercial,29.9,6.6,16.51,South,560048
126,2025-07-19, Bengaluru , Shivajinagar ,12.968177572021851,77.69986830346178,9.03,857,Residential,30.8,-1.41,13.01,Central,560048
667,2025-11-09, Bengaluru ,,12.879986584825662,77.47766927184033,12.63,924,Institutional,16.4,4.63,35.43,North,560001
29,2025-06-09, Bengaluru , Yelahanka ,13.134276620499337,77.49875766350672,11.33,854,Institutional,44.1,14.21,23.93,North,560034
133,2025-11-23, Bengaluru , West ,12.993331685521047,77.62531808346743,18.75,889,Mixed Use,29.2,8.24,39.83,West,560076
245,2024-02-26, Bengaluru , East ,13.004608622114448,77.69727239308469,7.76,939,,13.9,-0.07,37.6,East,560102
104,2024-11-12, Bengaluru , Mahadevapura ,12.936138860746002,77.5855748619116,16.0,909,Industrial,22.7,1.82,2.08,East,560001
277,2024-05-28, Bengaluru ,,13.187233018186669,77.46792915658028,15.94,884,Residential,50.0,7.87,13.29,East,560048
394,2025-06-11, Bengaluru , RR Nagar ,13.009252007144909,77.7622665118365,14.38,937,Residential,17.6,11.03,30.89,West,560064
111,2025-06-09, Bengaluru , Yelahanka ,13.194899109521499,77.46951873440571,15.71,900,Industrial,29.3,8.75,16.18,North,560076
160,2024-09-24, Bengaluru , CV Raman Nagar ,13.161497679881656,77.64183985041414,17.59,914,Commercial,18.8,5.81,19.93,East,560048
113,2025-01-29, Bengaluru , West ,13.00831684574715,77.5689226758696,10.86,943,Commercial,14.9,5.12,35.02,West,560102
569,2025-08-16, Bengaluru , RR Nagar ,13.146010365834979,77.56205688628611,7.3,889,Commercial,44.2,13.78,34.15,West,560001
552,2025-09-23, Bengaluru , RR Nagar ,13.19246869035549,77.62605750473551,9.72,856,Institutional,21.0,0.7,34.53,West,560076
330,2024-10-05, Bengaluru , North ,13.058346096023403,77.53934707265631,4.75,947,Industrial,22.7,-0.72,-3.42,North,560048
263,2024-03-13, Bengaluru , Yelahanka ,13.154658036667334,77.59703035969787,17.35,879,Mixed Use,37.2,11.42,35.44,North,560048
420,2025-01-29, Bengaluru , Mahadevapura ,12.934043008024336,77.57943885050757,11.76,966,Residential,34.5,11.18,20.76,East,560034
655,2025-08-03, Bengaluru , West ,13.110909115371092,77.63101853941593,7.52,979,Commercial,46.1,3.91,7.53,West,560001
168,2025-09-15,, Yelahanka ,13.084840921687169,77.54543340604418,11.25,917,Institutional,57.6,14.86,-3.46,North,560034
334,2024-08-05, Bengaluru ,,13.166748037053962,77.5143375622416,5.26,966,Industrial,59.0,0.05,17.98,West,560102
155,2025-07-18, Bengaluru , Bommanahalli ,12.938742479933671,77.47020272697836,16.55,953,Commercial,32.5,-0.17,8.48,South,560034
512,2025-11-11, Bengaluru , South ,13.088308556405885,77.48863629684293,1.61,877,Commercial,40.3,11.17,28.91,South,560076
25,2025-04-02, Bengaluru , North ,13.001262155024545,77.62325055071017,9.38,979,Commercial,23.8,11.98,26.8,North,560037
544,2024-03-08, Bengaluru , Dasarahalli ,13.13280394871027,77.45861980197176,10.34,915,Industrial,37.7,6.33,29.83,West,560001
444,2024-01-02, Bengaluru , Shivajinagar ,13.092934183179574,77.78840875871884,5.39,852,Commercial,22.9,3.15,39.48,Central,560001
151,2025-07-30, Bengaluru , Hebbal ,12.891289935945652,77.59862233039871,14.35,889,Mixed Use,27.3,0.71,26.06,North,560001
95,2025-05-11, Bengaluru , Dasarahalli ,12.92467663698915,77.59545704252159,4.15,943,Institutional,55.2,2.11,10.39,West,560064
218,2024-01-10,, Mahadevapura ,13.180751727044997,77.6090997606355,6.89,940,Institutional,46.4,8.99,1.08,East,560064
382,2025-10-15, Bengaluru , West ,13.06787727976266,77.48135702072672,3.6,963,Industrial,26.7,1.17,26.54,West,560037
24,2024-07-25, Bengaluru , RR Nagar ,13.03588004384804,77.52205504142856,14.26,919,Residential,7.0,-2.67,17.75,West,560048
293,2025-01-27, Bengaluru , Dasarahalli ,12.973932147822662,77.59880831068345,14.59,950,Mixed Use,36.5,-2.88,33.23,West,560102
174,2024-01-29, Bengaluru , Shivajinagar ,13.11226353875905,77.67712659329335,14.38,936,Mixed Use,9.8,8.03,29.92,Central,560078
101,2024-07-10, Bengaluru , West ,13.111534635348194,77.69319495372045,15.79,925,Mixed Use,56.3,1.57,38.39,West,560001
26,2024-02-25, Bengaluru ,,13.068906910041802,77.75794899493052,3.47,947,Industrial,43.1,-2.19,3.34,East,560064
667,2025-11-09, Bengaluru ,,12.879986584825662,77.47766927184033,12.63,924,Institutional,16.4,4.63,35.43,North,560001
637,2024-01-16, Bengaluru , West ,13.143491437733497,77.79036768456722,18.81,970,Institutional,46.6,-1.49,25.73,West,560076
490,2025-01-08, Bengaluru , Hebbal ,12.890940848168892,77.47597257815995,3.59,945,Institutional,6.1,12.53,-2.1,North,560048
36,2025-08-26, Bengaluru , East ,13.114479737701298,77.74898934339653,3.4,923,Commercial,19.6,6.2,3.54,East,560076
355,2024-07-23, Bengaluru , Bommanahalli ,13.141399663184202,77.5876148233688,7.38,878,Mixed Use,55.8,-0.24,12.54,South,560064
646,2024-06-23, Bengaluru , Bommanahalli ,12.99411903103811,77.65611656475815,3.28,863,Institutional,43.8,5.02,6.68,South,560037
243,2025-07-13, Bengaluru , CV Raman Nagar ,12.88074458543629,77.53362581318174,19.71,872,Industrial,21.3,5.89,20.93,East,560076
161,2024-04-25, Bengaluru , North ,13.04840164354503,77.74803791338809,16.51,884,Institutional,51.1,14.07,23.2,North,560034
74,2025-12-15,,,13.18449379022135,77.5318399686338,16.31,950,Residential,14.4,-2.41,0.04,West,560037
560,2025-11-20, Bengaluru , Yelahanka ,12.904423988543149,77.6486671512307,15.7,891,Mixed Use,36.3,9.23,35.24,North,560102
350,2024-04-20, Bengaluru , Yelahanka ,12.858075219754348,77.52891704271104,7.98,949,Institutional,22.2,-1.69,37.66,North,560102
119,2024-01-05, Bengaluru , CV Raman Nagar ,13.189057246822632,77.47496962429784,6.78,932,Mixed Use,54.4,2.25,-0.15,East,560102
115,2024-10-20, Bengaluru , North ,13.189745082911088,77.6012208211933,6.68,910,Industrial,13.9,11.98,39.03,North,560037
521,2024-09-22, Bengaluru , Shivajinagar ,12.925286304368848,77.78612080032441,6.79,929,Institutional,13.8,8.33,38.14,Central,560078
6,2025-11-15, Bengaluru , Hebbal ,12.97441243833912,77.66382184021909,6.32,923,Commercial,55.4,5.94,2.49,North,560078
476,2025-08-18, Bengaluru , Dasarahalli ,13.022206417068007,77.47844624863886,5.53,886,Industrial,21.5,1.0,20.37,West,560078
657,2024-04-25, Bengaluru , South ,13.07742427546788,77.5033729336091,17.97,968,Commercial,53.1,10.74,13.8,South,560078
249,2024-08-02, Bengaluru , Yelahanka ,13.079585991614705,77.70917428290021,3.71,867,Industrial,84.8,6.64,-1.69,North,560034
70,2024-02-27, Bengaluru , RR Nagar ,12.972616446451497,77.67596143523205,18.9,976,Residential,59.1,4.31,5.7,West,560001
15,2025-04-30, Bengaluru , CV Raman Nagar ,13.042031015395372,77.4958443482033,19.27,876,Commercial,52.9,11.87,4.5,East,560064
300,2024-06-28, Bengaluru , Shivajinagar ,13.12779389599603,77.66911133570977,10.3,858,Institutional,36.7,5.13,34.66,Central,560076
619,2024-02-03,, CV Raman Nagar ,13.059686568271074,77.55857437072352,5.71,979,Residential,51.2,3.28,-1.03,East,560064
370,2024-05-21, Bengaluru , East ,12.933230635291219,77.55669379249693,9.41,979,,92.4,4.76,4.97,East,560001
79,2025-06-11, Bengaluru , West ,12.94930541355412,77.52515001914205,11.22,878,Residential,59.5,7.1,-0.29,West,560076
95,2025-01-05, Bengaluru , RR Nagar ,13.050023383572448,77.54328409821873,11.43,965,,42.7,6.62,17.38,West,560064
725,2024-04-01, Bengaluru ,,13.097140365246169,77.46251819490871,12.9,900,Commercial,5.8,8.61,20.96,Central,560048
55,2024-02-11, Bengaluru , West ,12.86763690647744,77.6601726590882,5.9,869,Commercial,19.3,11.0,37.56,West,560034
468,2024-03-22, Bengaluru , Mahadevapura ,13.106255491664443,77.58254846290701,10.84,858,Commercial,48.7,-1.96,25.52,East,560102
267,2024-12-30, Bengaluru , South ,12.960073168660674,77.73397899023144,14.34,891,Residential,47.2,12.04,23.89,South,560048
741,2024-04-24, Bengaluru , West ,12.96302300568127,77.49092262542813,14.93,950,Commercial,22.4,12.88,14.37,West,560001
515,2025-12-06, Bengaluru , South ,13.174048369027414,77.65615485219053,17.46,923,Industrial,8.4,5.61,7.09,South,560078
538,2025-05-10, Bengaluru , South ,13.163823896415376,77.6989327874268,6.77,929,Residential,57.3,1.71,28.1,South,560037
631,2024-06-01, Bengaluru , East ,12.982751691794162,77.51282167191188,15.06,938,Industrial,37.5,13.94,11.09,East,560076
504,2025-06-27, Bengaluru , RR Nagar ,13.017163898374307,77.7301182378557,13.23,943,Institutional,114.2,0.62,-3.43,West,560001
607,2024-10-23, Bengaluru , Hebbal ,13.08633931489683,77.54825896431792,10.72,892,Residential,8.0,5.34,37.18,North,560078
167,2024-08-09, Bengaluru , South ,13.0686166943258,77.52398305430565,15.23,934,Mixed Use,22.3,3.04,16.75,South,560048
691,2025-02-22, Bengaluru ,,12.917820390531668,77.4743567149726,4.91,965,,35.5,-0.12,39.44,North,560102
332,2024-11-14, Bengaluru , Bommanahalli ,12.855386270700446,77.5298851366386,9.49,958,Institutional,39.9,6.35,19.76,South,560064
618,2024-12-31, Bengaluru , Hebbal ,13.05330326021416,77.59712091058051,19.78,876,Commercial,17.9,8.82,34.31,North,560064
248,2024-10-21, Bengaluru , Shivajinagar ,13.100003339283663,77.60098586380879,19.08,962,Commercial,46.0,10.56,6.18,Central,560064
374,2025-11-06,, CV Raman Nagar ,13.043293555990408,77.70438427368627,13.41,972,Institutional,27.6,8.99,1.65,East,560001
633,2025-05-31, Bengaluru , South ,12.999210507543635,77.74149045477876,19.24,873,Residential,68.2,14.49,27.48,South,560076
141,2025-05-02, Bengaluru , CV Raman Nagar ,12.906092921872064,77.58697597131673,9.17,876,Institutional,39.8,6.37,-4.19,East,560037
500,2024-07-25, Bengaluru , Hebbal ,12.915347989442974,77.5674429667275,15.22,964,Mixed Use,28.1,1.03,16.74,North,560102
639,2024-11-22, Bengaluru , South ,13.086294004446252,77.5846469091223,8.65,909,Residential,14.4,2.08,8.39,South,560076
609,2025-03-14, Bengaluru ,,13.096413089807301,77.5082247578225,11.68,878,Residential,53.0,0.32,27.41,Central,560078
564,2024-11-13, Bengaluru , RR Nagar ,13.076143128634634,77.74067385173144,9.25,949,Commercial,28.1,3.6,10.39,West,560078
367,2025-08-09, Bengaluru , Dasarahalli ,12.967549053279424,77.60179960334798,7.57,933,,32.9,-2.31,6.44,West,560064
308,2024-03-03, Bengaluru , RR Nagar ,13.064502052260032,77.78987153729602,13.54,963,Mixed Use,49.3,9.28,28.51,West,560048
332,2024-11-14, Bengaluru , Bommanahalli ,12.855386270700446,77.5298851366386,9.49,958,Institutional,39.9,6.35,19.76,South,560064
487,2025-02-16, Bengaluru , Hebbal ,12.871427442383627,77.62974800740658,16.17,939,Industrial,78.0,3.56,36.73,North,560064
567,2025-02-28, Bengaluru , North ,13.167477490740515,77.45306794073079,13.29,954,Commercial,37.8,-2.83,23.06,North,560078
502,2025-11-11, Bengaluru , North ,13.0055966112431,77.53162549877389,4.47,852,Residential,29.5,6.9,35.12,North,560037
235,2024-12-11, Bengaluru , West ,13.137668852446179,77.49490945486345,12.36,980,Industrial,6.2,13.36,26.96,West,560078
415,2024-12-20, Bengaluru , RR Nagar ,12.869047002452156,77.71077824801002,14.02,861,,52.6,-1.59,23.31,West,560078
431,2024-03-05, Bengaluru , CV Raman Nagar ,12.959826187374787,77.52690457573394,2.54,905,Institutional,23.2,6.63,-1.62,East,560064
630,2025-08-02, Bengaluru , South ,13.120494216183754,77.53169507143271,13.07,898,Commercial,12.5,6.38,29.75,South,560048
192,2025-05-15, Bengaluru , Shivajinagar ,12.979770826050528,77.56903310813416,2.81,901,,37.5,2.52,19.51,Central,560076
152,2024-02-14, Bengaluru , South ,12.918989584138306,77.69556834554763,4.48,933,Institutional,14.2,-1.71,-4.51,South,560102
436,2025-04-06, Bengaluru ,,13.09308410123244,77.48768102512193,10.19,878,Industrial,56.4,11.31,16.19,South,560037
257,2024-04-10, Bengaluru , West ,12.976432406707488,77.49189761464459,10.93,896,Institutional,40.4,9.36,-3.55,West,560048
615,2025-10-23, Bengaluru , North ,12.943309274913249,77.50426424059413,11.56,883,Mixed Use,10.9,6.4,-3.45,North,560076
668,2024-09-24, Bengaluru , Bommanahalli ,12.942581101677943,77.67433562003558,17.28,881,Institutional,33.2,12.91,13.61,South,560001
545,2024-01-05,, South ,12.898847143473116,77.71149367214804,17.18,914,Institutional,32.1,14.98,36.5,South,560076
542,2024-04-17, Bengaluru , North ,13.063036660915099,77.66526429583807,10.13,919,Commercial,19.7,11.24,10.13,North,560076
570,2024-11-19, Bengaluru , Shivajinagar ,13.02381895815348,77.58919077944039,7.77,953,Institutional,24.0,4.8,13.09,Central,560048
583,2024-12-21, Bengaluru ,,12.989545849295395,77.74096325458332,7.64,879,Institutional,36.1,10.71,28.05,East,560076
384,2025-08-26, Bengaluru , RR Nagar ,12.898628236060196,77.77238068162566,17.77,955,Residential,34.5,5.95,34.43,West,560048
146,2025-09-15, Bengaluru , RR Nagar ,12.864158150118826,77.4639994875564,5.97,927,Residential,39.6,13.95,20.4,West,560048
330,2024-10-05, Bengaluru , North ,13.058346096023403,77.53934707265631,4.75,947,Industrial,22.7,-0.72,-3.42,North,560048
475,2025-07-24, Bengaluru , Dasarahalli ,13.004157097314671,77.77917663482435,8.24,934,Mixed Use,54.3,12.3,4.72,West,560037
534,2025-07-06, Bengaluru , East ,12.938184789921788,77.45863296994155,14.87,926,Mixed Use,41.2,11.87,0.9,East,560034
216,2025-09-11, Bengaluru , West ,13.040891547313183,77.4790847605005,10.65,858,Residential,15.3,13.01,13.34,West,560048
215,2025-02-08, Bengaluru , East ,13.179597722142391,77.73901926824941,4.02,936,Mixed Use,5.2,5.8,-4.26,East,560034
625,2025-02-25, Bengaluru , South ,13.00151824709808,77.50340695873477,5.2,908,Institutional,11.9,0.35,27.21,South,560078
666,2024-08-27, Bengaluru , Yelahanka ,12.95122389162028,77.60786075489271,16.66,948,Institutional,-1.6,3.7,23.53,North,560037
197,2025-11-28, Bengaluru , CV Raman Nagar ,13.152049133696947,77.64263204702627,17.26,885,Residential,13.0,3.02,18.32,East,560001
541,2024-07-16, Bengaluru , North ,13.145973057772398,77.73370406985515,11.11,977,Residential,50.2,9.24,0.23,North,560078
496,2025-02-19, Bengaluru , Dasarahalli ,13.01234235783421,77.46490298133776,9.33,973,Mixed Use,21.2,9.29,12.88,West,560048
